artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
0.143,1.000,0.545,0.433,0.010,1.000,0.038,0.064,0.956,0.046,0.172,0.867,0.426,0.781,0.914,0.841,0.320,0.000,0.053,0.032
0.000,1.000,0.182,0.733,0.027,0.327,0.036,0.071,0.458,0.060,0.241,0.401,0.191,0.658,0.613,0.739,0.072,0.000,0.074,0.032
0.000,1.000,0.455,0.967,0.026,0.769,0.038,0.140,0.753,0.093,0.241,0.996,0.518,0.384,0.301,0.500,0.175,0.000,0.298,0.065
0.000,0.957,0.636,0.733,0.148,0.680,0.216,0.173,0.753,0.128,0.207,0.575,0.745,0.438,0.581,0.716,0.113,0.000,0.085,0.210
0.000,1.000,0.364,0.567,0.059,0.340,0.082,0.125,0.484,0.089,0.259,0.446,0.560,0.575,0.204,0.807,0.144,0.692,0.085,0.065
0.143,1.000,0.455,0.000,0.041,0.619,0.050,0.100,0.775,0.090,0.293,0.993,0.539,0.945,0.667,0.557,0.196,0.000,0.053,0.355
0.143,1.000,0.182,0.500,0.058,0.340,0.196,0.051,0.807,0.044,0.224,0.439,0.589,0.603,0.849,0.761,0.495,0.000,0.053,0.016
0.000,1.000,0.545,0.200,0.013,0.293,0.016,0.037,0.324,0.031,0.224,0.204,0.248,0.603,0.237,0.705,0.381,0.000,0.085,0.032
0.000,1.000,0.364,0.467,0.020,0.565,0.026,0.089,0.764,0.049,0.190,1.000,0.461,0.849,0.194,0.602,0.124,0.000,0.266,0.113
0.143,1.000,0.182,0.533,0.055,0.299,0.149,0.073,0.400,0.068,0.224,0.356,0.745,0.795,0.559,0.443,0.216,0.000,0.053,0.500
0.143,1.000,0.273,0.533,0.054,0.272,0.137,0.061,0.745,0.055,0.207,0.263,0.128,0.466,0.559,0.716,0.237,0.000,0.255,0.048
0.000,1.000,0.545,0.200,0.007,0.374,0.016,0.055,0.735,0.022,0.086,0.176,0.603,0.753,0.516,0.830,0.186,0.000,0.128,0.081
0.000,1.000,0.000,0.367,0.230,0.782,0.356,0.446,0.782,0.765,1.000,0.001,0.376,0.658,0.656,0.670,0.062,0.000,0.000,0.081
0.000,1.000,0.273,0.433,0.066,0.667,0.105,0.119,0.567,0.187,0.414,0.001,0.461,0.384,0.301,0.386,0.856,0.000,0.064,0.016
0.000,0.989,0.182,1.000,0.445,0.884,0.679,0.600,0.720,0.886,0.793,0.000,0.773,0.397,0.667,0.727,0.351,0.000,0.298,0.065
0.000,0.989,1.000,0.233,0.153,0.524,0.314,0.272,0.589,0.165,0.207,0.196,0.170,0.562,0.419,0.727,0.052,0.187,0.138,0.032
0.000,1.000,0.091,0.767,0.055,0.524,0.134,0.135,0.771,0.080,0.103,0.000,0.390,0.753,0.774,0.568,0.443,0.000,0.330,0.016
0.000,1.000,0.545,0.400,0.016,0.707,0.008,0.119,0.825,0.098,0.414,0.001,0.092,0.288,0.108,0.000,0.990,0.000,0.074,0.016
0.143,1.000,0.182,1.000,0.049,0.272,0.091,0.064,0.364,0.055,0.241,0.196,0.248,0.863,0.677,0.648,0.144,0.000,0.096,0.226
0.000,1.000,0.182,0.767,0.011,0.463,0.098,0.012,0.378,0.024,0.034,0.030,0.390,0.548,0.344,0.727,0.000,0.000,0.351,0.032
0.286,1.000,0.455,0.700,0.006,0.177,0.023,0.016,0.593,0.010,0.069,0.000,0.532,0.575,0.892,0.739,0.227,0.000,0.415,0.032
0.000,1.000,0.545,0.200,0.009,0.259,0.014,0.109,0.433,0.043,0.017,0.157,0.411,0.630,0.839,0.761,0.062,0.000,0.032,0.016
0.000,0.892,0.000,0.000,0.243,0.748,0.350,0.036,0.356,0.598,0.034,0.077,0.496,0.342,0.430,0.375,0.124,0.022,0.085,0.016
0.143,1.000,0.364,1.000,0.024,0.272,0.054,0.025,0.553,0.033,0.190,0.146,0.482,0.849,0.828,0.659,0.268,0.000,0.096,0.048
0.286,1.000,0.455,0.033,0.036,0.592,0.031,0.110,0.662,0.089,0.241,0.001,0.241,0.849,0.849,0.670,0.072,0.000,0.351,0.290
0.000,1.000,0.455,0.700,0.004,0.177,0.021,0.024,0.542,0.010,0.086,0.176,0.461,0.767,0.989,0.875,0.093,0.000,0.064,0.113
0.143,0.989,0.182,0.800,0.134,0.524,0.243,0.301,0.433,0.326,0.655,0.101,0.298,0.781,0.839,0.807,0.443,0.000,0.117,0.032
0.143,1.000,0.455,0.933,0.016,0.272,0.017,0.052,0.396,0.042,0.241,0.221,0.404,0.795,0.753,0.705,0.144,0.000,0.564,0.032
0.000,1.000,0.000,1.000,0.045,0.129,0.116,0.077,0.389,0.015,0.017,0.341,0.986,0.397,0.516,0.670,0.474,0.000,0.128,0.032
0.000,1.000,0.364,0.800,0.056,0.687,0.034,0.000,0.000,0.147,0.655,0.000,0.319,0.603,0.796,0.864,0.021,0.000,0.319,0.048
0.000,1.000,0.545,0.400,0.016,0.531,0.006,0.106,0.491,0.051,0.017,0.308,0.433,0.699,0.333,0.852,0.000,0.000,0.085,0.065
0.143,1.000,0.455,0.900,0.004,0.231,0.014,0.030,0.673,0.013,0.138,0.207,0.730,0.452,0.634,0.886,0.402,0.000,0.085,0.048
0.286,0.989,1.000,0.033,0.114,0.599,0.228,0.168,0.542,0.252,0.397,0.028,0.234,0.658,0.140,0.591,0.371,0.000,0.053,0.048
0.000,0.989,0.818,0.667,0.171,0.381,0.270,0.360,0.516,0.169,0.155,0.325,0.227,0.562,0.505,0.614,0.124,0.000,0.170,0.048
0.143,1.000,0.091,0.733,0.080,0.333,0.167,0.171,0.447,0.189,0.310,0.371,0.816,0.671,0.613,0.614,0.691,0.000,0.064,0.419
1.000,1.000,0.455,0.000,0.021,0.211,0.033,0.033,0.120,0.035,0.121,0.193,0.390,0.795,0.634,0.670,0.113,0.000,0.085,0.032
0.143,1.000,0.273,0.200,0.012,0.231,0.051,0.028,0.393,0.025,0.155,0.222,0.603,0.521,0.376,0.727,0.381,0.000,0.085,0.016
0.000,0.903,0.000,0.000,0.216,0.361,0.366,0.229,0.447,0.421,0.034,0.085,0.220,0.712,0.570,0.670,0.093,0.000,0.106,0.065
0.000,0.903,0.000,0.000,0.148,0.286,0.212,0.140,0.404,0.155,0.069,0.086,0.213,0.507,0.473,0.795,0.000,0.000,0.096,0.032
0.000,1.000,0.364,0.600,0.010,0.190,0.048,0.024,0.578,0.015,0.103,0.105,0.426,0.767,0.989,0.864,0.278,0.000,0.085,0.065
0.143,1.000,0.091,0.300,0.013,0.170,0.096,0.015,0.389,0.006,0.052,0.065,0.560,0.452,0.860,0.636,0.237,0.000,0.074,0.065
0.143,0.946,0.818,0.267,0.455,0.531,0.758,0.554,0.425,0.866,0.069,0.072,0.177,0.726,0.935,0.466,0.557,0.000,0.043,0.048
0.143,0.989,0.636,0.833,0.236,0.544,0.300,0.433,0.669,0.551,0.776,0.763,0.447,0.452,0.366,1.000,0.041,0.000,0.340,0.032
0.286,0.935,0.545,0.667,0.253,0.435,0.283,0.115,0.211,0.254,0.017,0.326,0.099,0.452,0.581,0.534,0.381,0.000,0.085,0.129
0.286,1.000,0.455,0.733,0.021,0.544,0.018,0.122,0.527,0.067,0.276,0.001,0.560,0.740,0.763,0.557,0.536,0.000,0.213,0.371
